sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
susscr;laxsist4;611;809;909;5738;19.52228037;0.39269925;0.140989892;0.015527775;0.495737477;0.042858684;10.42297381;0.975377432;6.707630602;0.393691345;0.785398272;0.032863095;2.274520024;0.365919691;1.75;not patched
vulvul;clust3x1_1;150;150;158;3279;20.34525556;0.39269925;0.045745654;0.007341391;0.590068479;0.067718695;49.68367875;4.689401237;8.084665602;0.766777637;0.628311517;0.065546918;0.135220358;0.029608062;0.98;not patched
vulvul;clust3x1_2;189;189;206;3411;19.53768;0.39269925;0.05540897;0.01072865;0.3391186;0.0560596;22.6514;3.882181;9.098072;0.4786855;0.6583446;0.06583446;0.3160605;0.03160605;0.98;not patched
vulvul;clust3x1_3;206;206;226;3322;20.65791708;0.39269925;0.062010837;0.008921085;0.557318962;0.056462985;19.25367983;6.271938387;8.590342048;0.601148535;0.681108902;0.062734879;0.439317808;0.161849987;0.98;not patched
vulvul;clust4;358;358;389;5983;19.32748927;0.39269925;0.059836203;0.008148704;0.466580331;0.048530334;23.77675956;5.667287609;8.933441476;0.352198248;0.694132968;0.047515814;0.327573376;0.091198043;1.75;not patched
vulvul;clust5;503;503;546;9032;18.71943738;0.39269925;0.055690877;0.006377023;0.40960105;0.045744171;22.01397427;4.504729359;8.692632098;0.277257888;0.676353761;0.039853412;0.340938769;0.081342018;2.53;not patched
vulvul;clustrand3;199;199;219;3327;16.15853106;0.39269925;0.059813646;0.010278959;0.460752106;0.065537552;29.18181153;5.29746649;9.022155306;0.522371621;0.641991219;0.054346955;0.270144563;0.07048857;0.98;not patched
vulvul;clustrand4;357;357;391;5968;19.29131717;0.39269925;0.059819035;0.007801615;0.371594351;0.050103482;18.06711769;4.271306688;8.843992484;0.340247143;0.657844697;0.044550394;0.442509333;0.121725466;1.75;not patched
vulvul;lax;492;500;540;7655;19.10396635;0.39269925;0.065316786;0.007008689;0.429464159;0.040284234;19.50098278;2.855323455;8.888938602;0.250007864;0.728292387;0.037233139;0.433887727;0.083329314;2.53;not patched
vulvul;laxrand3;189;190;205;3192;17.76630552;0.39269925;0.05952381;0.010218651;0.514728074;0.062704323;15.93151494;3.78278327;8.740467088;0.396648143;0.742515506;0.069807926;0.489665811;0.156415545;0.98;not patched
vulvul;laxrand4;372;376;405;5822;16.0268037;0.39269925;0.064582618;0.007974573;0.431466099;0.047373732;17.08237528;2.810473167;8.372473482;0.87212731;0.744771548;0.043402536;0.516841376;0.123094943;1.75;not patched
vulvul;laxsist3;249;254;270;3209;16.01537474;0.39269925;0.079152384;0.012042286;0.42676943;0.049959911;19.86132602;1.717017744;9.028475328;0.316259409;0.699614844;0.046862418;0.513676158;0.105054815;0.98;not patched
vulvul;laxsist4;404;410;444;5738;19.58868378;0.39269925;0.071453468;0.008483458;0.416204286;0.043757548;17.0923442;3.25583653;8.703672941;0.257384818;0.746227366;0.04152935;0.549455471;0.129575168;1.75;not patched
